rccn,rc,statecn,state,rcid,topicid
芝加哥外国投资集团区域中心,Chicagoland Foreign Investment Group (CFIG) Regional Center,伊利诺斯,Illinois,ID1031910114,14112
芝加哥外国投资集团区域中心,Chicagoland Foreign Investment Group (CFIG) Regional Center,密歇根,Michigan,ID1031910114,14113
芝加哥外国投资集团区域中心,Chicagoland Foreign Investment Group (CFIG) Regional Center,威斯康星,Wisconsin,ID1031910114,14114
CIG区域中心,"CIG Regional Center, LLC",加利福尼亚,California,ID1221250718,14115
佛罗里达州公民区域中心,Citizens Regional Center of Florida,佛罗里达,Florida,ID1208650618,14116
城市连接区域中心,City Connections Regional Center LLC,纽约,New York,ID1504452594,14117
城市连接区域中心,City Connections Regional Center LLC,康涅狄格,Connecticut,ID1504452594,14118
城市连接区域中心,City Connections Regional Center LLC,新泽西,New Jersey,ID1504452594,14119
城市连接区域中心,City Connections Regional Center LLC,宾夕法尼亚,Pennsylvania,ID1504452594,14120
City of Dallas RC (CDRC),City of Dallas RC (CDRC),德克萨斯,Texas,ID1031910157,14121
迈阿密市区域中心,City of Miami Regional Center,佛罗里达,Florida,ID1320351178,14122
Civitas – El Paso,Civitas – El Paso,德克萨斯,Texas,ID1232050814,14123
Civitas – El Paso,Civitas – El Paso,新墨西哥,New Mexico,ID1232050814,14124
Civitas-纽约,Civitas – New York,纽约,New York,ID1307451108,14125
Civitas阿拉巴马区域中心,Civitas Alabama Regional Center,阿拉巴马,Alabama,ID1428851926,14126
Civitas亚特兰大区域中心,Civitas Atlanta Regional Center,乔治亚,Georgia,ID1308751114,14127
Civitas丹佛区域中心,"Civitas Denver Regional Center, LLC",科罗拉多,Colorado,ID1308751115,14128
Civitas大平原区域中心,Civitas Great Plains Regional Center,堪萨斯,Kansas,ID1428051906,14129
Civitas大平原区域中心,Civitas Great Plains Regional Center,俄克拉荷马,Oklahoma,ID1428051906,14130
Civitas大平原区域中心,Civitas Great Plains Regional Center,密苏里,Missouri,ID1428051906,14131
Civitas伊利诺斯区域中心,Civitas Illinois Regional Center,伊利诺斯,Illinois,ID1428851921,14132
Civitas拉雷多区域中心,"Civitas Laredo Regional Center, LLC",德克萨斯,Texas,ID1303051081,14133
Civitas拉斯维加斯区域中心,Civitas Las Vegas Regional Center,内华达,Nevada,ID1331251278,14134
Civitas路易斯安那区域中心,Civitas Louisiana Regional Center,路易斯安那,Louisiana,ID1428851924,14135
Civitas马萨诸塞区域中心,Civitas Massachusetts Regional Center,马萨诸塞州,Massachusetts,ID1428851923,14136
Civitas迈阿密区域中心,"Civitas Miami Regional Center, LLC",佛罗里达,Florida,ID1310151122,14137
Civitas密歇根区域中心,Civitas Michigan Regional Center,密歇根,Michigan,ID1428051907,14138
Civitas NorCal区域中心,Civitas NorCal Regional Center,加利福尼亚,California,ID1329651244,14139
Civitas北佛罗里达区域中心,Civitas Northern Florida Regional Center,佛罗里达,Florida,ID1428851925,14140
Civitas费城区域中心,Civitas Philadelphia Regional Center,宾夕法尼亚,Pennsylvania,ID1333351305,14141
Civitas费城区域中心,Civitas Philadelphia Regional Center,新泽西,New Jersey,ID1333351305,14142
Civitas费城区域中心,Civitas Philadelphia Regional Center,特拉华,Delaware,ID1333351305,14143
Civitas里奥格兰德区域中心,Civitas Rio Grande Regional Center,德克萨斯,Texas,ID1307451109,14144
Civitas SoCal区域中心,"Civitas SoCal Regional Center, LLC",加利福尼亚,California,ID1329451239,14145
Civitas德克萨斯区域中心,Civitas Texas Regional Center,德克萨斯,Texas,ID1125250305,14146
Civitas华盛顿区域中心,Civitas Washington D.C. Regional Center,马里兰,Maryland,ID1333351306,14147
Civitas华盛顿区域中心,Civitas Washington D.C. Regional Center,哥伦比亚特区,District of Columbia,ID1333351306,14148
Civitas华盛顿区域中心,Civitas Washington D.C. Regional Center,维吉尼亚,Virginia,ID1333351306,14149
Civitas华盛顿区域中心,Civitas Washington D.C. Regional Center,维吉尼亚,Virginia,ID1333351306,14150
克拉克郡区域中心,Clark County Regional Center,内华达,Nevada,ID1031910097,14151
清水湾海滩度假村区域中心,"Clearwater Beach Resort Regional Center, LLC",佛罗里达,Florida,ID1307151103,14152
克利夫兰国际基金有限公司,"Cleveland International Fund, Ltd",俄亥俄,Ohio,ID1031910169,14153
Cloudseed国际基金有限责任公司,"Cloudseed International Fund, LLC",俄亥俄,Ohio,ID1332651295,14154
CMB区域科罗拉多州区域中心,"CMB Colorado Regional Center, LLC",科罗拉多,Colorado,ID1423251852,14155
CMB出口有限责任公司,CMB Export LLC,加利福尼亚,California,ID1031910156,14156
CMB伊利诺斯区域中心,"CMB Illinois Regional Center, LLC",伊利诺斯,Illinois,ID1311251126,14157
CMB北达科他州区域中心,CMB North Dakota Regional Center,北达科他,North Dakota,ID1500852427,14158
CMB区域宾夕法尼亚区域中心,"CMB Pennsylvania Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1234850855,14159
CMB东南区域中心,"CMB Southeast Regional Center, LLC",佛罗里达,Florida,ID1231250800,14160
CMB东南区域中心,"CMB Southeast Regional Center, LLC",乔治亚,Georgia,ID1231250800,14161
CMB Summit LLC RC,CMB Summit LLC RC,俄亥俄,Ohio,ID1031910107,14162
CMB德州有限责任公司,"CMB Texas, LLC",德克萨斯,Texas,ID1227850774,14163
科罗拉多成长基金有限责任公司,"Colorado Growth Fund, LLC",科罗拉多,Colorado,ID1322551194,14164
科罗拉多河源区域中心,"Colorado Headwaters RC, LLC",科罗拉多,Colorado,ID1434352051,14165
科罗拉多区域中心,"Colorado Regional Center, LLC",科罗拉多,Colorado,ID1031910180,14166
哥伦比亚威拉米特投资有限责任公司,"Columbia Willamette Investment, LLC",俄勒冈,Oregon,ID1220750713,14167
哥伦比亚威拉米特投资有限责任公司,"Columbia Willamette Investment, LLC",华盛顿,Washington,ID1220750713,14168
波多黎各区域中心公司,Commonweaith of Puerto Rico Regional Center Corporation,波多黎各,Puerto Rico,ID1423751856,14169
美洲大陆区域中心,Continental Americas Regional Center,路易斯安那,Louisiana,ID1034250079,14170
大陆区域中心（原名美国大陆区域中心）,"Continental Regional Center LLC (former name USA Continental Regional Center, LLC)",加利福尼亚,California,ID1034350082,14171
科纳斯通区域中心,"Cornerstone Regional Center, Inc.",佛罗里达,Florida,ID1321851186,14172
科纳斯通区域中心,"Cornerstone Regional Center, Inc.",阿拉巴马,Alabama,ID1321851186,14173
纽约地铁区域中心有限责任公司,"Corsario New York Metro Regional Center, LLC",纽约,New York,ID1322051188,14174
纽约地铁区域中心有限责任公司,"Corsario New York Metro Regional Center, LLC",新泽西,New Jersey,ID1322051188,14175
P区域中心公司,CP Regional Center Inc,德克萨斯,Texas,ID1031910070,14176
CP南部区域中心,CP Southern Regional Center,田纳西,Tennessee,ID1200350481,14177
CP南部区域中心,CP Southern Regional Center,阿拉巴马,Alabama,ID1200350481,14178
CP南部区域中心,CP Southern Regional Center,维吉尼亚,Virginia,ID1200350481,14179
CP南部区域中心,CP Southern Regional Center,密西西比,Mississippi,ID1200350481,14180
CP南部区域中心,CP Southern Regional Center,肯塔基,Kentucky,ID1200350481,14181
新月区域中心,"Crescent Regional Center, LLC",路易斯安那,Louisiana,ID1330451258,14182
"Crossroads Investment Partners, LLC","Crossroads Investment Partners, LLC",伊利诺斯,Illinois,ID1412651751,14183
"Crossroads Investment Partners, LLC","Crossroads Investment Partners, LLC",印第安纳,Indiana,ID1412651751,14184
"Crossroads Investment Partners, LLC","Crossroads Investment Partners, LLC",俄亥俄,Ohio,ID1412651751,14185
皇冠点区域中心,Crown Point Regional Center,德克萨斯,Texas,ID1031910013,14186
CUCC商务区域中心有限公司（前称美国商务区域中心公司）,"CUCC Business Regional Center, Inc (former name U.S. Business Regional Center Inc.)",纽约,New York,ID1233950830,14187
达拉斯区域中心,Dallas Regional Center,德克萨斯,Texas,ID1425951884,14188
DC区域中心,DC Regional Center,马里兰,Maryland,ID1031910144,14189
DC区域中心,DC Regional Center,维吉尼亚,Virginia,ID1031910144,14190
DC区域中心,DC Regional Center,哥伦比亚特区,District of Columbia,ID1031910144,14191
特拉华谷区域中心,"Delaware Valley Regional Center, LLC",特拉华,Delaware,ID1313451137,14192
特拉华谷区域中心,"Delaware Valley Regional Center, LLC",新泽西,New Jersey,ID1313451137,14193
特拉华谷区域中心,"Delaware Valley Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1313451137,14194
特拉华谷区域中心,"Delaware Valley Regional Center, LLC",马里兰,Maryland,ID1313451137,14195
底特律投资移民区域中心,Detroit Immigrant Investor Regional Center,密歇根,Michigan,ID1031910239,14196
钻石城蒙大拿州EB-5区域中心,"Diamond City Montana EB-5 Regional Center, LLC",蒙大拿,Montana,ID1324951208,14197
"Dine’ Bi Keyah Regional Center, LLC","Dine’ Bi Keyah Regional Center, LLC",亚利桑那,Arizona,ID1414751765,14198
"Dine’ Bi Keyah Regional Center, LLC","Dine’ Bi Keyah Regional Center, LLC",新墨西哥,New Mexico,ID1414751765,14199
发现佛罗里达州,"Discovery Florida, LLC",佛罗里达,Florida,ID1507652627,14200
多元化的全球投资有限责任公司,"Diversified Global Investment, LLC",乔治亚,Georgia,ID1226450765,14201
芝加哥DMI房地产有限责任公司,"DMI Real Estate Chicago, LLC",伊利诺斯,Illinois,ID1300751054,14202
自治领中大西洋联营公司,"Dominion Mid-Atlantic Associates, Inc.",维吉尼亚,Virginia,ID1135450410,14203
Dos Lagos区域中心,Dos Lagos Regional Center LLC,加利福尼亚,California,ID1031910088,14204
DRC资本合伙人有限公司,"DRC Capital Partners, LLC",亚利桑那,Arizona,ID1234850857,14205
梦港区域中心,Dream Harbor Regional Center,华盛顿,Washington,ID1216750688,14206
德州梦区域中心,Dream of Texas Regional Center,德克萨斯,Texas,ID1415351771,14207
"Dynasty Group Regional Center, LLC 王朝集团区域中心","Dynasty Group Regional Center, LLC",华盛顿,Washington,ID1409851724,14208
E Development Corporation dba EDC,E Development Corporation dba EDC,关岛,Island of Guam,ID1223650739,14209
Ë＆W太浩湖区域中心,E&W Lake Tahoe Regional Center LLC,加利福尼亚,California,ID1225150755,14210
伊格尔湾区域中心有限责任公司,"Eagle Bay Regional Center, LLC",加利福尼亚,California,ID1304251085,14211
东海岸区域中心,"East Coast Regional Center, LLC",新泽西,New Jersey,ID1503052580,14212
东海岸区域中心,"East Coast Regional Center, LLC",纽约,New York,ID1503052580,14213
东海岸地区再生区域中心,"East Coast Renewable Regional Center, LLC",新泽西,New Jersey,ID1105950170,14214
东西全球区域中心,East West Global Regional Center,加利福尼亚,California,ID1421051829,14215
东普卢默斯县区域中心,"East Plumas County Regional Center, LLC",加利福尼亚,California,ID1322151191,14216
东西区域中心,"East Plumas County Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1431751977,14217
东西区域中心,"East Plumas County Regional Center, LLC",新泽西,New Jersey,ID1431751977,14218
东西区域中心,"East Plumas County Regional Center, LLC",纽约,New York,ID1431751977,14219
东西区域中心,"East Plumas County Regional Center, LLC",康涅狄格,Connecticut,ID1431751977,14220
华盛顿东部区域中心,Eastern Washington Regional Center,华盛顿,Washington,ID1034150054,14221
EB5马萨诸塞州区域中心EB5联盟网站联邦,"EB5 Affiliate Network Commonwealth of Massachusetts Regional Center, LLC",马萨诸塞州,Massachusetts,ID1404551684,14222
EB5联盟网站纽约/三州区域中心,EB5 Affiliate Network New York/Tri-State Regional Center,纽约,New York,ID1404251680,14223
EB5联盟网站纽约/三州区域中心,EB5 Affiliate Network New York/Tri-State Regional Center,康涅狄格,Connecticut,ID1404251680,14224
EB5联盟网站纽约/三州区域中心,EB5 Affiliate Network New York/Tri-State Regional Center,新泽西,New Jersey,ID1404251680,14225
EB5联盟网站亚利桑那区域中心,"EB5 Affiliate Network State of Arizona Regional Center, LLC",亚利桑那,Arizona,ID1427951901,14226
EB5联盟网站加州区域中心,"EB5 Affiliate Network State of California Regional Center, LLC",加利福尼亚,California,ID1403151667,14227
EB5联盟网站科罗拉多区域中心,"EB5 Affiliate Network State of Colorado Regional Center, LLC",科罗拉多,Colorado,ID1427951903,14228
EB5联盟网站佛罗里达区域中心,"EB5 Affiliate Network State of Florida Regional Center, LLC",佛罗里达,Florida,ID1403151665,14229
EB5联盟网站乔治亚区域中心,"EB5 Affiliate Network State of Georgia Regional Center, LLC",乔治亚,Georgia,ID1404251679,14230
EB5联盟网站夏威夷区域中心,"EB5 Affiliate Network State of Hawaii Regional Center, LLC",夏威夷,Hawaii,ID1421751840,14231
EB5联盟网站伊利诺斯区域中心,"EB5 Affiliate Network State of Illinois Regional Center, LLC",伊利诺斯,Illinois,ID1421751842,14232
EB5联盟网站密歇根区域中心,"EB5 Affiliate Network State of Michigan Regional Center, LLC",密歇根,Michigan,ID1427951904,14233
EB5联盟网站内华达区域中心,"EB5 Affiliate Network State of Nevada Regional Center, LLC",内华达,Nevada,ID1404251678,14234
EB5联盟网站北卡罗来纳区域中心,"EB5 Affiliate Network State of North Carolina Regional Center, LLC",北卡罗来纳,North Carolina,ID1403151664,14235
EB5联盟网站德克萨斯区域中心,"EB5 Affiliate Network State of Texas Regional Center, LLC",德克萨斯,Texas,ID1427951902,14236
EB5联盟网站华盛顿和俄勒冈区域中心,"EB5 Affiliate Network States of Washington and Oregon Regional Center, LLC",华盛顿,Washington,ID1421751843,14237
EB5联盟网站华盛顿和俄勒冈区域中心,"EB5 Affiliate Network States of Washington and Oregon Regional Center, LLC",俄勒冈,Oregon,ID1421751843,14238
EB5联盟网站华盛顿区域中心,"EB5 Affiliate Network Washington, D.C. Regional Center, LLC",马里兰,Maryland,ID1421751841,14239
EB5联盟网站华盛顿区域中心,"EB5 Affiliate Network Washington, D.C. Regional Center, LLC",哥伦比亚特区,District of Columbia,ID1421751841,14240
EB5联盟网站华盛顿区域中心,"EB5 Affiliate Network Washington, D.C. Regional Center, LLC",西维吉尼亚,West Virginia,ID1421751841,14241
EB5联盟网站华盛顿区域中心,"EB5 Affiliate Network Washington, D.C. Regional Center, LLC",维吉尼亚,Virginia,ID1421751841,14242
"EB-5 Ameri-Holdings, LLC","EB-5 Ameri-Holdings, LLC",乔治亚,Georgia,ID1107350177,14243
B-5 Blaine Tomorrow区域中心,"EB-5 Blaine Tomorrow Regional Center, LLC",华盛顿,Washington,ID1219950707,14244
EB-5加州债券,"EB-5 Bonds California, LLC",加利福尼亚,California,ID1423751857,14245
EB-5纽约债券,"EB-5 Bonds California, LLC",康涅狄格,Connecticut,ID1427451895,14246
EB-5纽约债券,"EB-5 Bonds California, LLC",纽约,New York,ID1427451895,14247
EB-5得克萨斯州的俄克拉何马州债券,"EB-5 Bonds Texas-Oklahoma, LLC",俄克拉荷马,Oklahoma,ID1504952600,14248
EB-5得克萨斯州的俄克拉何马州债券,"EB-5 Bonds Texas-Oklahoma, LLC",德克萨斯,Texas,ID1504952600,14249
EB5投资-加州区域中心,EB5 Capital - California Regional Center,加利福尼亚,California,ID1217050690,14250
EB5投资-DC区域中心,EB5 Capital - DC Regional Center,哥伦比亚特区,District of Columbia,ID1217750695,14251
EB5投资-DC区域中心,EB5 Capital - DC Regional Center,维吉尼亚,Virginia,ID1217750695,14252
EB5投资-DC区域中心,EB5 Capital - DC Regional Center,马里兰,Maryland,ID1217750695,14253
EB5投资-纽约区域中心,EB5 Capital - New York Regional Center,宾夕法尼亚,Pennsylvania,ID1428751914,14254
EB5投资-纽约区域中心,EB5 Capital - New York Regional Center,新泽西,New Jersey,ID1428751914,14255
EB5投资-纽约区域中心,EB5 Capital - New York Regional Center,康涅狄格,Connecticut,ID1428751914,14256
EB5投资-纽约区域中心,EB5 Capital - New York Regional Center,纽约,New York,ID1428751914,14257
EB5投资-俄勒冈区域中心,EB5 Capital – Oregon Regional Center,俄勒冈,Oregon,ID1509252638,14258
EB5投资-俄勒冈区域中心,EB5 Capital – Oregon Regional Center,华盛顿,Washington,ID1509252638,14259
EB5投资-德州区域中心,EB5 Capital – Texas Regional Center,德克萨斯,Texas,ID1435852255,14260
EB5通道区域中心,EB5 Express Regional Center,加利福尼亚,California,ID1118250239,14261
EB5金融管理公司,"EB5 Financing Management Company, LLC",佛罗里达,Florida,ID1415451772,14262
EB5佛罗里达酒店和投资区域中心,EB5 Florida Hotels & Investments Regional Center LLC,佛罗里达,Florida,ID1435752249,14263
EB5佛罗里达房地产区域中心,"EB5 Florida Real Estate Regional Center, LLC",佛罗里达,Florida,ID1429351932,14264
EB5基金公司,"EB5 Fund, Inc.",新泽西,New Jersey,ID1326751218,14265
EB5基金公司,"EB5 Fund, Inc.",康涅狄格,Connecticut,ID1326751218,14266
EB5基金公司,"EB5 Fund, Inc.",纽约,New York,ID1326751218,14267
EB5 Group纽约区域中心,"EB5 Group New York Regional Center, LLC",新泽西,New Jersey,ID1507152625,14268
EB5 Group纽约区域中心,"EB5 Group New York Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1507152625,14269
EB5 Group纽约区域中心,"EB5 Group New York Regional Center, LLC",纽约,New York,ID1507152625,14270
EB5 Group纽约区域中心,"EB5 Group New York Regional Center, LLC",康涅狄格,Connecticut,ID1507152625,14271
EB-5 Impact Capital区域中心,"EB-5 Impact Capital Regional Center, LLC",内华达,Nevada,ID1410551734,14272
EB-5 Impact Capital区域中心,"EB-5 Impact Capital Regional Center, LLC",加利福尼亚,California,ID1410551734,14273
国际EB5II,"EB5 International II, LLC",加利福尼亚,California,ID1424051867,14274
国际EB5,"EB5 International, LLC",加利福尼亚,California,ID1424051866,14275
国际EB5 III,EB5 International III LLC,俄勒冈,Oregon,ID1517752760,14276
国际EB5III,EB5 International III LLC,华盛顿,Washington,ID1517752760,14277
夏威夷EB5工作,"EB-5 Jobs for Hawaii, LLC",夏威夷,Hawaii,ID1031910167,14278
马萨诸塞EB5工作,"EB-5 Jobs for Massachusetts, Inc.",马萨诸塞州,Massachusetts,ID1031910110,14279
EB5土地区域中心,EB5 Land Regional Center,华盛顿,Washington,ID1507652629,14280
EB5孟菲斯区域中心,"EB5 Memphis Regional Center, LLC",田纳西,Tennessee,ID1234150838,14281
EB5纽约有限公司,"EB-5 New York State, LLC",纽约,New York,ID1031910126,14282
EB5机会基金有限责任公司,"EB5 Opportunities Fund, LLC",宾夕法尼亚,Pennsylvania,ID1334651336,14283
EB5机会基金有限责任公司,"EB5 Opportunities Fund, LLC",新泽西,New Jersey,ID1334651336,14284
EB5机会基金有限责任公司,"EB5 Opportunities Fund, LLC",纽约,New York,ID1334651336,14285
EB5佛罗里达区域中心,"EB-5 Regional Center Florida, LLC",佛罗里达,Florida,ID1209550637,14286
EB5 Regional Center of America LLC,EB5 Regional Center of America LLC,康涅狄格,Connecticut,ID1406351696,14287
EB5 Regional Center of America LLC,EB5 Regional Center of America LLC,纽约,New York,ID1406351696,14288
EB5 Regional Center of America LLC,EB5 Regional Center of America LLC,新泽西,New Jersey,ID1406351696,14289
EB5南佛罗里达区域中心,"EB-5 South Florida Regional Center, LLC",佛罗里达,Florida,ID1108950189,14290
EB5 United West区域中心,"EB5 United West Regional Center, LLC",加利福尼亚,California,ID1416151777,14291
EB5签证基金有限责任公司,EB5 Visa Fund LLC,佛罗里达,Florida,ID1205250593,14292
通往美国之路,EB5 West LLC,华盛顿,Washington,ID1210850644,14293
通往美国之路,EB5 West LLC,俄勒冈,Oregon,ID1210850644,14294
经济发展和投资公司,Economic Development & Investment Group LLLP,加利福尼亚,California,ID1502352569,14295
教育基金SE区域中心,Education Fund SE Regional Center,佛罗里达,Florida,ID1510551754,14296
教育基金SE区域中心,Education Fund SE Regional Center,乔治亚,Georgia,ID1510551754,14297
教育基金SE区域中心,Education Fund SE Regional Center,北卡罗来纳,North Carolina,ID1510551754,14298
教育基金SE区域中心,Education Fund SE Regional Center,南卡罗来纳,South Carolina,ID1510551754,14299
Eight Islands 区域中心,"Eight Islands Regional Center, LLC",夏威夷,Hawaii,ID1221350720,14300
翡翠池区域中心,Emerald Pond Regional Center,加利福尼亚,California,ID1423951863,14301
帝国区域中心,"Empire Regional Center, LLC",纽约,New York,ID1414151760,14302
帝国区域中心,"Empire Regional Center, LLC",新泽西,New Jersey,ID1414151760,14303
纽约州EB-5区域中心,Empire State EB-5 Regional Center,纽约,New York,ID1120950253,14304
纽约州EB-6区域中心,Empire State EB-5 Regional Center,宾夕法尼亚,Pennsylvania,ID1120950253,14305
纽约州区域中心（也以纽约州基金的名义经营商业）,Empire State Regional Center (also doing business as Empire State Development Fund),宾夕法尼亚,Pennsylvania,ID1117250235,14306
纽约州区域中心（也以纽约州基金的名义经营商业）,Empire State Regional Center (also doing business as Empire State Development Fund),纽约,New York,ID1117250235,14307
纽约州区域中心（也以纽约州基金的名义经营商业）,Empire State Regional Center (also doing business as Empire State Development Fund),新泽西,New Jersey,ID1117250235,14309
纽约州区域中心（也以纽约州基金的名义经营商业）,Empire State Regional Center (also doing business as Empire State Development Fund),康涅狄格,Connecticut,ID1117250235,14310
安可阿拉巴马/佛罗里达区域中心,Encore Alabama/Florida Regional Center,佛罗里达,Florida,ID1218450701,14311
安可阿拉巴马/佛罗里达区域中心,Encore Alabama/Florida Regional Center,阿拉巴马,Alabama,ID1218450701,14312
"Encore Boston RC, LLC","Encore Boston RC, LLC",马萨诸塞州,Massachusetts,ID1225550759,14313
ncore加州区域中心,"Encore California RC, LLC",加利福尼亚,California,ID1322151190,14314
Encore科罗拉多区域中心,"Encore Colorado RC, LLC",科罗拉多,Colorado,ID1225550758,14315
Encore乔治亚区域中心,"Encore Georgia Regional Center, LLC",乔治亚,Georgia,ID1327351225,14316
Encore路易斯安那区域中心,Encore Louisiana Regional Center,路易斯安那,Louisiana,ID1218450700,14317
Encore中西区域中心,"Encore Midwest Regional Center, LLC",密苏里,Missouri,ID1334651334,14318
Encore中西区域中心,"Encore Midwest Regional Center, LLC",伊利诺斯,Illinois,ID1334651334,14319
Encore密西西比区域中心,Encore Mississippi Regional Center,密西西比,Mississippi,ID1218450699,14320
Encore纳什维尔区域中心,"Encore Nashville RC, LLC",田纳西,Tennessee,ID1222950735,14321
Encore纽约/新泽西区域中心,"Encore New York/New Jersey Regional Center, LLC",纽约,New York,ID1225550760,14322
Encore纽约/新泽西区域中心,"Encore New York/New Jersey Regional Center, LLC",新泽西,New Jersey,ID1225550760,14323
Encore宾夕法尼亚区域中心,"Encore Pennsylvania RC, LLC (EPRC)",宾夕法尼亚,Pennsylvania,ID1329151237,14324
Encore罗利/达勒姆区域中心,Encore Raleigh/Durham Regional Center,北卡罗来纳,North Carolina,ID1201850576,14325
"Encore S. CA RC, LLC","Encore S. CA RC, LLC",加利福尼亚,California,ID1222950734,14326
Encore德州区域中心,"Encore Texas RC, LLC (ETRC)",德克萨斯,Texas,ID1225550757,14327
Encore华盛顿区域中心,"Encore Wash D.C. RC, LLC",哥伦比亚特区,District of Columbia,ID1222950733,14328
Encore华盛顿区域中心,"Encore Wash D.C. RC, LLC",马里兰,Maryland,ID1222950733,14329
Encore华盛顿区域中心,"Encore Wash D.C. RC, LLC",维吉尼亚,Virginia,ID1222950733,14330
Encore华盛顿/俄勒冈区域中心,"Encore Washington/Oregon Regional Center, LLC",俄勒冈,Oregon,ID1330251254,14331
Encore华盛顿/俄勒冈区域中心,"Encore Washington/Oregon Regional Center, LLC",华盛顿,Washington,ID1330251254,14332
Energize -ECI EB-5签证区域中心,Energize-ECI EB-5 Visa Regional Center,印第安纳,Indiana,ID1114750218,14333
Extell纽约区域中心,Extell New York Regional Center,纽约,New York,ID1101250146,14334
菲尔海文资本顾问区域中心,Fairhaven Capital Advisors Regional Center (FCARC),科罗拉多,Colorado,ID1521652840,14335
菲尔海文资本顾问区域中心,Fairhaven Capital Advisors Regional Center (FCARC),华盛顿,Washington,ID1514752728,14336
Farm for America Regional Center 美国农场区域中心,Farm for America Regional Center,华盛顿,Washington,ID1031910018,14337
浮士德资本公司,Faustus Capital LLC,加利福尼亚,California,ID1212850652,14338
FDIUS区域中心,FDIUS Regional Center,加利福尼亚,California,ID1031910159,14339
美国第一区域中心,"First American Regional Center, LLC",加利福尼亚,California,ID1505652611,14340
舰队纽约大都会区域中心有限责任公司（原美国联邦纽约大都会区域中心）,Fleet New York Metropolitan Regional Center LLC (former name Federal New York Metropolitan Regional Center),纽约,New York,ID1031910196,14341
佛罗里达州东海岸的EB5区域中心有限责任公司（原美国成长基金有限责任公司）,"Florida East Coast EB5 Regional Center LLC (former name United States Growth Fund, LLC)",佛罗里达,Florida,ID1228650784,14342
佛罗里达州东海岸区域中心,"Florida East Coast Regional Center, LLC",佛罗里达,Florida,ID1232550818,14343
佛罗里达州EB5投资公司区域中心,Florida EB5 Investments LLC Regional Center,佛罗里达,Florida,ID1031910185,14344
佛罗里达州EB-5量子投资有限责任公司,"Florida EB-5 Quantum Investments, LLC",佛罗里达,Florida,ID1508352632,14345
佛罗里达州EB-5区域中心,"Florida EB-5 Regional Center, LLC",佛罗里达,Florida,ID1031910204,14346
佛罗里达股权与成长基金区域中心,"Florida Equity & Growth Fund Regional Center, LLC",佛罗里达,Florida,ID1031910124,14347
佛罗里达第一区域中心（原USEGF佛罗里达区域中心）,"Florida First Regional Center, LLC (former name USEGF Florida Regional Center)",佛罗里达,Florida,ID1502052556,14348
佛罗里达Gateway区域中心,"Florida Gateway Regional Center, LLC",佛罗里达,Florida,ID1115750228,14349
佛罗里达墨西哥湾岸区区域中心,"Florida Gulf Coast Regional Center, LLC",佛罗里达,Florida,ID1226550766,14350
佛罗里达墨西哥湾岸区区域中心,Florida Overseas Investment Center RC,佛罗里达,Florida,ID1031910161,14351
佛罗里达区域中心,"Florida Regional Center, LLC",佛罗里达,Florida,ID1031910194,14352
自由伙伴区域中心,Freedom Partners Regional Center LLC,印第安纳,Indiana,ID1304251084,14353
自由伙伴区域中心,Freedom Partners Regional Center LLC,伊利诺斯,Illinois,ID1304251084,14354
自由伙伴区域中心,Freedom Partners Regional Center LLC,威斯康星,Wisconsin,ID1304251084,14355
FreeMind的电影区域中心,FreeMind Films Regional Center,加利福尼亚,California,ID1031910062,14356
得克萨斯州弗里斯科国际发展中心,Frisco Texas International Development Center,德克萨斯,Texas,ID1216750689,14357
Front Range 区域中心,"Front Range Regional Center, Inc.",新墨西哥,New Mexico,ID1410851739,14358
Front Range 区域中心,"Front Range Regional Center, Inc.",科罗拉多,Colorado,ID1410851739,14359
Future American Now区域中心,"Future American Now Regional Center, LLC",佛罗里达,Florida,ID1504252592,14360
未来资源公司,"Future Resources, Inc.",加利福尼亚,California,ID1418351796,14361
南加州FutureCare 区域中心,"FutureCare Regional Center of Southern California, Inc.",加利福尼亚,California,ID1223550738,14362
G＆CW区域中心,"G&CW Regional Center, LLC",纽约,New York,ID1310651124,14363
G.R.E.E.N.区域中心,G.R.E.E.N. Regional Center,新泽西,New Jersey,ID1332351288,14364
Gardens 区域中心,"Gardens Regional Center, LLC",佛罗里达,Florida,ID1135450411,14365
Geteway加利福尼亚区域中心,Gateway California Regional Center,加利福尼亚,California,ID1414351764,14366
Geteway担保区域中心,"Gateway Secured Regional Center, LLC",加利福尼亚,California,ID1326951220,14367
"Gateway to the Midwest Investment Center, Inc.","Gateway to the Midwest Investment Center, Inc.",密苏里,Missouri,ID1105350166,14368
外商投资发展乔治亚中心,Georgia Center for Foreign Investment and Development,乔治亚,Georgia,ID1031910096,14369
佐治亚区域中心,"Georgia Regional Center, LLC",乔治亚,Georgia,ID1034750105,14370
全球联盟卡罗莱纳州区域中心,"Global Alliance Carolina Regional Center, LLC",北卡罗来纳,North Carolina,ID1515452734,14371
全球美国区域中心,Global America Regional Center,加利福尼亚,California,ID1421251835,14372
环球世纪（休斯顿）,Global Century (Houston),德克萨斯,Texas,ID1031910139,14373
全球城市区域中心,"Global City Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1313051134,14374
